TimeStamp,HeartRate,GSR,Attention,leftPupilDialation,rightPupilDialation,collidingObjectName,
15/07/2022 5:48:01 a.m.:256,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:271,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:287,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:301,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:316,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:330,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:345,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:359,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:376,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:396,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:413,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:428,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:444,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:459,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:476,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:491,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:508,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:534,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:550,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:570,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:589,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:608,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:625,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:644,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:662,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:688,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:706,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:723,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:739,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:757,77,0,0,0,0,,
