Timestamp,HeartRate,CognitiveLoad,Attention,leftPupilDialation,rightPupilDialation,collidingObject,
15/07/2022 9:39:19 a.m.:458,77,0,0,3.138107,2.967834,Free_Wheel,
15/07/2022 9:39:19 a.m.:478,77,0,0,3.319351,2.932983,Free_Wheel,
15/07/2022 9:39:19 a.m.:500,77,0,0,3.451752,2.983337,Free_Wheel,
15/07/2022 9:39:19 a.m.:527,77,0,0,3.459976,3.030457,Free_Wheel,
15/07/2022 9:39:19 a.m.:553,77,0,0,3.313782,2.983948,Crankcase,
15/07/2022 9:39:19 a.m.:569,77,0,0,3.211777,3.001846,Crankcase,
15/07/2022 9:39:19 a.m.:588,77,0,0,3.200653,2.860046,Crankcase,
15/07/2022 9:39:19 a.m.:611,77,0,0,3.250687,2.883499,Crankcase,
15/07/2022 9:39:19 a.m.:644,77,0,0,3.200821,3.096313,Free_Wheel,
15/07/2022 9:39:19 a.m.:663,77,0,0,3.300873,3.00058,Free_Wheel,
15/07/2022 9:39:19 a.m.:682,77,0,0,3.329758,3.080276,Free_Wheel,
15/07/2022 9:39:19 a.m.:711,77,0,0,3.296204,3.076279,Free_Wheel,
15/07/2022 9:39:19 a.m.:728,77,0,0,3.206802,3.068008,Free_Wheel,
15/07/2022 9:39:19 a.m.:747,77,0,0,3.215271,3.039307,Free_Wheel,
15/07/2022 9:39:19 a.m.:774,77,0,0,3.01683,3.051117,Free_Wheel,
15/07/2022 9:39:19 a.m.:790,77,0,0,3.132324,3.025711,Crankcase,
15/07/2022 9:39:19 a.m.:812,77,0,0,3.132324,3.025711,Crankcase,
15/07/2022 9:39:19 a.m.:834,77,0,0,3.132324,3.025711,Crankcase,
15/07/2022 9:39:19 a.m.:865,77,0,0,3.304276,3.000809,PushRod_R07,
15/07/2022 9:39:19 a.m.:881,77,0,0,3.081589,3.086227,PushRod_R07,
15/07/2022 9:39:19 a.m.:906,77,0,0,3.298431,3.079422,PushRod_R08,
15/07/2022 9:39:19 a.m.:924,77,0,0,3.291977,3.104279,PushRod_R07,
15/07/2022 9:39:19 a.m.:946,77,0,0,3.189896,2.939224,PushRod_R07,
15/07/2022 9:39:19 a.m.:969,77,0,0,3.255463,3.122528,PushRod_R08,
15/07/2022 9:39:19 a.m.:991,77,0,0,3.344772,3.201797,PushRod_R08,
15/07/2022 9:39:20 a.m.:34,77,0,0,3.213013,3.115341,PushRod_R07,
15/07/2022 9:39:20 a.m.:57,77,0,0,3.260376,3.046356,PushRod_R07,
15/07/2022 9:39:20 a.m.:74,77,0,0,3.267807,3.023056,3RodA,
15/07/2022 9:39:20 a.m.:92,77,0,0,3.452682,3.238434,PushRod_R07,
15/07/2022 9:39:20 a.m.:108,77,0,0,3.242737,3.243408,PushRod_R07,
15/07/2022 9:39:20 a.m.:125,77,0,0,-1,3.124084,PushRod_R06,
15/07/2022 9:39:20 a.m.:147,77,0,0,-1,3.110519,PushRod_R01,
15/07/2022 9:39:20 a.m.:186,77,0,0,-1,3.190521,Free_Wheel,
15/07/2022 9:39:20 a.m.:203,77,0,0,3.560226,3.213287,Free_Wheel,
15/07/2022 9:39:20 a.m.:221,77,0,0,3.357132,3.2332,Free_Wheel,
15/07/2022 9:39:20 a.m.:237,77,0,0,3.438522,3.20314,Free_Wheel,
15/07/2022 9:39:20 a.m.:258,77,0,0,3.385559,3.138535,Free_Wheel,
15/07/2022 9:39:20 a.m.:280,77,0,0,3.432037,3.225525,Free_Wheel,
15/07/2022 9:39:20 a.m.:308,77,0,0,3.369308,3.246857,Free_Wheel,
15/07/2022 9:39:20 a.m.:334,77,0,0,3.393387,3.193253,Free_Wheel,
15/07/2022 9:39:20 a.m.:351,77,0,0,3.434158,3.17659,Free_Wheel,
15/07/2022 9:39:20 a.m.:369,77,0,0,3.479584,3.144516,Free_Wheel,
15/07/2022 9:39:20 a.m.:392,77,0,0,3.411438,3.18541,Free_Wheel,
15/07/2022 9:39:20 a.m.:417,77,0,0,3.418533,3.233032,Free_Wheel,
15/07/2022 9:39:20 a.m.:441,77,0,0,3.406281,3.212936,Free_Wheel,
15/07/2022 9:39:20 a.m.:460,77,0,0,3.468994,3.215698,Free_Wheel,
15/07/2022 9:39:20 a.m.:488,77,0,0,3.58577,3.271622,Free_Wheel,
15/07/2022 9:39:20 a.m.:505,77,0,0,3.746689,3.35405,Free_Wheel,
15/07/2022 9:39:20 a.m.:525,77,0,0,3.871964,3.560959,Free_Wheel,
15/07/2022 9:39:20 a.m.:556,77,0,0,3.754974,3.46022,OilPan,
15/07/2022 9:39:20 a.m.:572,77,0,0,3.896805,3.536057,Floor,
15/07/2022 9:39:20 a.m.:593,77,0,0,3.804123,3.599594,Floor,
15/07/2022 9:39:20 a.m.:614,77,0,0,3.663116,3.329102,Floor,
15/07/2022 9:39:20 a.m.:646,77,0,0,3.672928,3.508896,Floor,
15/07/2022 9:39:20 a.m.:670,77,0,0,3.651489,3.219223,Floor,
15/07/2022 9:39:20 a.m.:686,77,0,0,3.611084,3.412262,Floor,
15/07/2022 9:39:20 a.m.:703,77,0,0,3.675949,3.230667,Floor,
15/07/2022 9:39:20 a.m.:727,77,0,0,3.83107,3.449661,Floor,
