TimeStamp,HeartRate,GSR,Attention,leftPupilDialation,rightPupilDialation,rightPupilDialation,collidingObjectName,
13/07/2022 11:18:29 p.m.:617,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:627,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:639,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:650,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:665,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:672,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:685,0.42,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:700,0.39,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:713,0.39,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:721,0.36,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:734,0.33,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:751,0.27,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:774,0.12,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:796,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:816,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:831,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:842,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:853,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:864,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:880,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:887,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:894,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:906,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:916,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:928,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:939,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:949,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:961,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:972,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:983,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:996,-0.03,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:9,-0.03,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:17,-0.03,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:30,-0.06,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:44,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:58,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:63,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:72,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:83,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:94,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:105,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:116,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:127,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:140,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:150,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:161,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:172,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:183,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:194,-0.13,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:207,-0.1,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:223,-0.07,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:240,0,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:257,0.12,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:273,0.18,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:289,0.21,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:305,0.27,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:320,0.31,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:334,0.34,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:349,0.4,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:367,0.49,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:381,0.49,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:391,0.49,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:400,0.49,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:407,0.49,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:417,0.52,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:430,0.52,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:438,0.52,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:450,0.52,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:463,0.55,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:479,0.58,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:493,0.58,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:499,0.58,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:505,0.58,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:516,0.58,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:529,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:542,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:549,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:560,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:572,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:583,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:594,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:607,0.64,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:622,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:635,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:641,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:649,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:665,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:679,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:684,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:694,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:707,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:716,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:729,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:739,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:751,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:764,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:781,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:788,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:796,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:806,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:816,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:828,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:839,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:850,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:861,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:872,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:883,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:894,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:904,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:916,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:927,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:939,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:949,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:961,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:971,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:983,0.61,0,0,0,0,,,
13/07/2022 11:18:30 p.m.:993,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:6,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:16,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:27,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:38,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:49,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:61,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:72,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:84,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:95,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:107,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:117,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:128,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:139,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:149,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:160,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:172,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:183,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:195,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:206,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:217,0.61,0,0,0,0,,,
13/07/2022 11:18:31 p.m.:229,0.61,0,0,0,0,,,
